native_language,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
vlaams,0.08,0.205,0.976,0.988,0.06,0.223,0.976,1.0,0.08,0.187,0.952,0.975,0.09,0.203,0.976,0.881,0.05,0.186,0.69,0.963,0.17,0.154,0.952,0.781,0.988
wolof,0.11,0.238,0.405,0.9,0.05,0.236,0.952,0.844,0.05,0.215,0.762,0.594,0.08,0.193,0.119,0.931,0.08,0.188,0.214,0.544,0.23,0.154,0.476,0.781,0.0
vlaams,0.09,0.194,0.571,0.744,0.06,0.286,0.357,0.981,0.09,0.211,0.214,0.756,0.11,0.179,0.286,0.55,0.05,0.174,0.857,0.631,0.06,0.181,0.024,0.881,0.512
vlaams,0.09,0.206,0.976,0.988,0.06,0.25,0.976,1.0,0.06,0.214,0.976,0.0,0.09,0.216,0.976,1.0,0.09,0.172,0.548,0.0,0.2,0.155,0.929,0.794,0.988
vlaams,0.08,0.17,0.095,0.625,0.08,0.246,0.952,0.569,0.17,0.148,0.524,0.95,0.11,0.191,0.071,0.794,0.06,0.175,0.262,0.694,0.32,0.14,0.952,0.875,0.912
vietnamese,0.12,0.232,0.976,0.906,0.05,0.26,0.19,1.0,0.05,0.184,0.714,0.0,0.09,0.185,0.976,0.781,0.08,0.165,0.5,1.0,0.22,0.154,0.952,0.725,0.519
vietnamese,0.25,0.153,0.048,0.9,0.06,0.275,0.214,0.669,0.06,0.223,0.81,0.644,0.11,0.195,0.262,0.894,0.06,0.185,0.214,0.694,0.49,0.14,0.452,0.819,0.669
vietnamese,0.22,0.151,0.524,0.756,0.09,0.169,0.81,0.4,0.08,0.193,0.476,0.631,0.05,0.24,0.048,0.819,0.09,0.188,0.524,0.519,0.15,0.156,0.929,0.8,0.9
vietnamese,0.09,0.192,0.905,0.944,0.06,0.284,0.024,0.775,0.05,0.185,0.524,0.619,0.09,0.202,0.143,0.769,0.11,0.192,0.81,0.644,0.05,0.183,0.143,0.95,0.656
vietnamese,0.15,0.193,0.548,0.537,0.05,0.202,0.262,0.812,0.05,0.175,0.667,0.0,0.06,0.24,0.238,0.0,0.11,0.163,0.714,0.562,0.12,0.169,0.143,0.875,0.769
vietnamese,0.18,0.197,0.667,0.706,0.05,0.25,0.786,0.838,0.05,0.187,0.905,0.0,0.08,0.198,0.214,0.919,0.09,0.172,0.857,0.531,0.05,0.188,0.476,0.944,0.0
vietnamese,0.77,0.125,0.024,0.613,0.05,0.215,0.024,0.438,0.05,0.166,0.476,0.0,0.12,0.177,0.167,0.731,0.35,0.138,0.952,0.562,0.11,0.182,0.952,0.969,0.694
vietnamese,0.09,0.214,0.071,0.869,0.06,0.211,0.048,0.781,0.05,0.191,0.595,0.0,0.06,0.214,0.619,0.0,0.08,0.175,0.929,0.644,0.05,0.194,0.69,0.931,0.0
vietnamese,0.18,0.206,0.976,0.9,0.05,0.219,0.976,1.0,0.05,0.176,0.81,0.0,0.08,0.192,0.905,0.681,0.08,0.204,0.595,0.881,0.34,0.161,0.976,0.613,0.919
vietnamese,0.63,0.127,0.548,0.894,0.12,0.164,0.857,0.556,0.22,0.174,0.0,0.0,0.31,0.133,0.333,0.0,0.09,0.166,0.0,0.487,0.63,0.126,0.095,0.794,0.637
vietnamese,0.09,0.185,0.857,0.912,0.05,0.252,0.976,0.919,0.06,0.185,0.667,0.956,0.06,0.223,0.143,0.919,0.08,0.177,0.881,0.706,0.05,0.184,0.143,0.944,0.606
vietnamese,0.11,0.243,0.024,0.95,0.32,0.131,0.762,0.469,0.05,0.191,0.476,0.55,0.12,0.191,0.19,0.75,0.06,0.211,0.619,0.631,0.08,0.185,0.262,0.894,0.0
vietnamese,0.14,0.201,0.167,0.487,0.08,0.218,0.262,0.562,0.05,0.197,0.762,0.944,0.15,0.181,0.262,0.912,0.05,0.176,0.714,0.55,0.2,0.149,0.143,0.8,0.456
vietnamese,0.18,0.153,0.857,0.969,0.11,0.201,0.976,1.0,0.08,0.192,0.952,0.988,0.09,0.209,0.976,0.969,0.11,0.171,0.19,0.0,0.32,0.15,0.929,0.606,0.981
vietnamese,0.23,0.159,0.714,0.756,0.08,0.24,0.69,0.581,0.09,0.211,0.667,0.769,0.09,0.198,0.095,0.85,0.11,0.193,0.69,0.487,0.26,0.142,0.0,0.85,0.388
vietnamese,0.14,0.221,0.833,0.856,0.05,0.244,0.071,0.562,0.06,0.191,0.595,0.569,0.12,0.203,0.119,0.881,0.12,0.176,0.524,0.531,0.23,0.154,0.0,0.531,0.537
vietnamese,0.45,0.135,0.881,0.463,0.05,0.198,0.0,0.0,0.05,0.17,0.262,0.0,0.06,0.198,0.333,0.0,0.15,0.153,0.357,0.744,0.35,0.145,0.452,0.656,0.619
vietnamese,0.14,0.236,0.976,0.656,0.05,0.24,0.929,1.0,0.05,0.186,0.595,0.0,0.08,0.218,0.976,0.881,0.06,0.179,0.929,1.0,0.05,0.166,0.214,0.919,0.0
vietnamese,0.12,0.206,0.976,1.0,0.08,0.194,0.976,1.0,0.06,0.192,0.952,0.988,0.12,0.182,0.905,0.988,0.08,0.188,0.0,0.606,0.25,0.142,0.905,0.581,0.956
uzbek,0.11,0.186,0.952,0.919,0.06,0.191,0.929,1.0,0.05,0.188,0.81,0.769,0.06,0.191,0.31,0.794,0.05,0.197,0.69,0.669,0.17,0.176,0.881,0.825,0.0
vietnamese,0.12,0.193,0.071,0.569,0.05,0.232,0.905,0.669,0.05,0.191,0.595,0.844,0.18,0.166,0.262,0.769,0.09,0.179,0.548,0.669,0.23,0.162,0.952,0.938,0.494
vietnamese,0.15,0.221,0.048,0.0,0.05,0.264,0.524,0.0,0.05,0.183,0.0,0.806,0.06,0.196,0.476,0.0,0.18,0.15,0.357,0.75,0.05,0.186,0.429,0.919,0.631
uzbek,0.51,0.132,0.31,0.975,0.05,0.235,0.929,0.9,0.09,0.22,0.571,0.769,0.05,0.167,0.286,0.731,0.05,0.177,0.0,0.0,0.05,0.2,0.31,0.0,0.0
vietnamese,0.45,0.134,0.0,0.588,0.28,0.139,0.357,0.938,0.05,0.178,0.0,0.0,0.08,0.206,0.19,0.681,0.14,0.177,0.214,0.769,0.48,0.133,0.571,0.719,0.706
uzbek,0.08,0.166,0.429,0.938,0.06,0.212,0.976,0.731,0.12,0.216,0.976,0.975,0.09,0.186,0.071,1.0,0.05,0.206,0.762,0.644,0.25,0.166,0.952,0.912,0.975
uzbek,0.23,0.142,0.381,0.856,0.09,0.181,0.976,0.0,0.09,0.182,0.952,0.975,0.08,0.197,0.976,0.963,0.08,0.189,0.929,0.963,0.22,0.152,0.952,0.887,0.1
uyghur,0.14,0.228,0.524,1.0,0.06,0.266,0.071,0.831,0.05,0.189,0.071,0.706,0.08,0.202,0.048,0.644,0.06,0.211,0.905,0.531,0.11,0.193,0.952,0.0,0.963
urdu,0.09,0.185,0.667,1.0,0.14,0.166,0.929,0.931,0.05,0.17,0.857,0.719,0.09,0.198,0.952,0.706,0.05,0.2,0.833,0.906,0.11,0.18,0.929,0.969,0.95
urdu,0.05,0.191,0.048,0.694,0.08,0.21,0.381,0.525,0.06,0.198,0.667,0.9,0.09,0.239,0.357,0.806,0.06,0.204,0.81,0.869,0.09,0.194,0.357,0.9,0.688
urdu,0.69,0.122,0.0,0.856,0.09,0.178,0.0,0.0,0.08,0.182,0.952,0.988,0.08,0.204,0.952,0.963,0.06,0.192,0.786,0.669,0.18,0.157,0.929,0.619,0.988
urdu,0.05,0.17,0.429,0.819,0.06,0.22,0.952,0.938,0.06,0.204,0.929,0.988,0.11,0.192,0.976,0.694,0.05,0.215,0.952,0.0,0.15,0.181,0.976,0.825,1.0
uyghur,0.37,0.13,0.143,0.956,0.15,0.166,0.857,0.744,0.05,0.201,0.69,0.869,0.09,0.224,0.976,0.856,0.12,0.167,0.69,1.0,0.17,0.149,0.857,0.85,0.931
uyghur,0.38,0.129,0.19,0.531,0.11,0.159,0.929,0.912,0.06,0.182,0.929,0.606,0.17,0.182,0.119,0.825,0.08,0.205,0.833,0.431,0.26,0.17,0.143,0.894,0.494
urdu,0.11,0.203,0.976,0.963,0.06,0.251,0.976,1.0,0.05,0.199,0.976,0.881,0.09,0.216,0.929,0.694,0.08,0.2,0.929,0.938,0.17,0.157,0.857,0.956,0.975
urdu,0.14,0.172,0.405,1.0,0.05,0.218,0.786,0.619,0.08,0.208,0.69,0.887,0.08,0.207,0.167,0.95,0.06,0.187,0.857,0.562,0.18,0.17,0.976,0.931,0.919
urdu,0.09,0.21,0.976,0.756,0.05,0.275,0.976,1.0,0.08,0.2,0.952,0.956,0.09,0.2,0.905,0.988,0.06,0.184,0.5,0.938,0.29,0.146,0.929,0.75,0.975
urdu,0.08,0.202,0.762,0.731,0.06,0.186,0.952,0.975,0.18,0.136,0.357,0.0,0.06,0.207,0.357,0.706,0.06,0.212,0.0,0.0,0.05,0.181,0.881,0.988,0.9
urdu,0.11,0.148,0.143,0.5,0.12,0.182,0.262,0.537,0.09,0.185,0.881,0.8,0.12,0.201,0.881,0.875,0.08,0.197,0.952,0.963,0.57,0.135,0.976,0.931,1.0
urdu,0.08,0.166,0.643,0.881,0.08,0.212,0.976,0.906,0.11,0.171,0.929,0.975,0.11,0.204,0.976,0.906,0.09,0.176,0.976,1.0,0.14,0.178,0.929,0.95,0.988
urdu,0.11,0.181,0.952,0.95,0.05,0.256,0.976,0.975,0.06,0.221,0.976,0.981,0.08,0.215,0.976,0.963,0.08,0.181,0.905,0.0,0.11,0.178,0.929,0.944,1.0
urdu,0.14,0.16,0.929,0.931,0.11,0.176,0.976,0.956,0.2,0.143,0.976,0.988,0.08,0.192,0.214,0.95,0.06,0.2,0.976,1.0,0.17,0.187,0.976,0.938,0.925
urdu,0.15,0.152,0.024,0.65,0.08,0.226,0.786,0.656,0.08,0.165,0.429,0.0,0.12,0.168,0.095,0.7,0.08,0.185,0.857,0.512,0.35,0.138,0.167,0.975,0.869
urdu,0.09,0.218,0.976,1.0,0.05,0.223,0.929,1.0,0.09,0.198,0.976,0.869,0.06,0.201,0.071,0.988,0.05,0.212,0.952,0.694,0.05,0.2,0.881,0.0,0.669
urdu,0.05,0.193,0.833,0.831,0.08,0.244,0.976,0.963,0.08,0.187,0.976,0.944,0.09,0.193,0.905,0.887,0.06,0.195,0.857,0.938,0.12,0.173,0.929,0.894,0.975
ukrainian,0.11,0.172,0.738,0.875,0.09,0.204,0.976,0.894,0.06,0.196,0.762,0.963,0.05,0.219,0.0,0.619,0.06,0.208,0.881,0.719,0.05,0.19,0.286,0.956,0.0
urdu,0.43,0.129,0.19,0.644,0.09,0.211,0.881,0.631,0.05,0.208,0.714,0.0,0.12,0.18,0.214,0.894,0.06,0.238,0.0,0.0,0.06,0.174,0.048,0.0,0.0
ukrainian,0.11,0.244,0.976,0.963,0.05,0.258,0.976,1.0,0.08,0.194,0.714,0.988,0.09,0.209,0.976,0.731,0.06,0.193,0.857,0.0,0.28,0.162,0.976,0.944,1.0
ukrainian,0.05,0.188,0.81,0.756,0.09,0.2,0.976,0.95,0.08,0.22,0.976,0.975,0.09,0.218,0.976,0.975,0.05,0.222,0.929,1.0,0.08,0.184,0.881,0.919,0.0
ukrainian,0.09,0.252,0.952,0.944,0.05,0.303,0.976,1.0,0.06,0.192,0.976,0.0,0.06,0.218,0.976,0.969,0.08,0.176,0.786,1.0,0.17,0.156,0.929,0.919,0.0
ukrainian,0.35,0.133,0.786,0.0,0.09,0.219,0.976,0.0,0.11,0.219,0.976,0.975,0.12,0.215,0.976,0.988,0.09,0.197,0.619,0.569,0.57,0.135,0.905,0.0,0.869
ukrainian,0.14,0.225,0.976,1.0,0.05,0.294,0.976,1.0,0.06,0.221,0.952,0.988,0.08,0.222,0.976,0.781,0.08,0.181,0.786,0.975,0.09,0.167,0.857,0.919,0.0
ukrainian,0.09,0.173,0.333,0.969,0.05,0.25,0.976,0.644,0.08,0.192,0.952,1.0,0.08,0.225,0.167,0.744,0.06,0.193,0.857,0.781,0.22,0.168,0.976,0.669,0.988
ukrainian,0.09,0.179,0.024,0.606,0.09,0.181,0.81,0.0,0.09,0.192,0.548,0.912,0.11,0.218,0.167,0.931,0.08,0.22,0.786,0.5,0.29,0.157,0.976,0.95,0.731
twi,0.06,0.185,0.048,0.775,0.15,0.15,0.167,0.475,0.06,0.203,0.738,0.731,0.05,0.17,0.405,0.0,0.06,0.207,0.929,0.769,0.14,0.174,0.976,0.963,0.956
ukrainian,0.08,0.189,0.952,1.0,0.08,0.281,0.976,1.0,0.08,0.203,0.976,0.975,0.09,0.211,0.976,0.919,0.09,0.172,0.595,0.0,0.2,0.155,0.929,0.794,0.988
ukrainian,0.35,0.148,0.833,0.619,0.05,0.303,0.19,0.875,0.06,0.212,0.548,0.819,0.08,0.214,0.048,0.706,0.12,0.182,0.643,0.481,0.12,0.195,0.119,0.819,0.463
ukrainian,0.26,0.149,0.071,0.5,0.06,0.286,0.833,0.469,0.09,0.21,0.81,0.781,0.12,0.183,0.571,0.794,0.08,0.177,0.81,0.0,0.63,0.131,0.905,0.787,0.487
twi,0.08,0.236,0.071,0.606,0.06,0.228,0.714,0.781,0.05,0.19,0.643,0.0,0.05,0.198,0.095,0.719,0.06,0.195,0.452,0.556,0.09,0.185,0.381,0.794,0.537
twi,0.09,0.219,0.952,0.863,0.05,0.303,0.976,1.0,0.09,0.202,0.976,0.975,0.09,0.197,0.405,1.0,0.05,0.219,0.857,0.594,0.26,0.155,0.952,0.644,0.938
twi,0.17,0.165,0.976,0.856,0.14,0.158,0.952,1.0,0.08,0.17,0.881,0.919,0.09,0.18,0.786,0.95,0.06,0.204,0.5,0.95,0.32,0.142,0.952,0.662,0.981
turkish,0.06,0.164,0.238,0.988,0.05,0.229,0.976,0.794,0.06,0.197,0.81,0.0,0.08,0.214,0.976,0.919,0.09,0.196,0.905,1.0,0.05,0.181,0.833,0.988,0.781
turkmen,0.12,0.17,0.071,0.613,0.05,0.261,0.881,0.719,0.06,0.203,0.524,0.0,0.08,0.191,0.167,0.95,0.05,0.201,0.69,0.519,0.05,0.166,0.31,0.0,0.531
turkish,0.14,0.143,0.524,0.838,0.08,0.187,0.976,0.0,0.06,0.195,0.905,0.988,0.09,0.19,0.167,0.938,0.08,0.176,0.714,0.0,0.15,0.153,0.833,0.825,0.9
turkish,0.05,0.166,0.0,0.0,0.08,0.186,0.976,0.931,0.11,0.173,0.0,0.0,0.09,0.202,0.952,1.0,0.09,0.174,0.833,0.95,0.08,0.202,0.976,0.819,1.0
twi,0.09,0.258,0.024,0.831,0.05,0.271,0.119,0.694,0.17,0.147,0.667,0.744,0.08,0.219,0.333,0.781,0.06,0.178,0.714,0.0,0.31,0.146,0.024,0.781,0.519
turkish,0.32,0.135,0.071,0.975,0.11,0.178,0.976,0.894,0.06,0.193,0.0,0.0,0.06,0.213,0.143,0.0,0.09,0.17,0.429,0.0,0.25,0.152,0.262,0.825,0.656
turkish,0.08,0.156,0.19,0.931,0.06,0.168,0.952,0.794,0.15,0.145,0.952,0.988,0.05,0.184,0.333,0.95,0.14,0.165,0.667,0.0,0.2,0.145,0.929,0.781,0.975
turkish,0.11,0.166,0.643,1.0,0.08,0.197,0.952,1.0,0.06,0.198,0.833,0.963,0.08,0.207,0.976,0.769,0.09,0.161,0.667,0.0,0.09,0.176,0.071,0.881,0.988
turkish,0.11,0.182,0.31,0.794,0.06,0.239,0.69,0.581,0.09,0.22,0.762,0.544,0.11,0.182,0.119,0.887,0.08,0.162,0.262,0.631,0.17,0.161,0.595,0.694,0.65
turkish,0.11,0.151,0.19,0.938,0.09,0.181,0.952,0.738,0.08,0.205,0.881,0.988,0.11,0.204,0.976,0.844,0.08,0.196,0.714,0.975,0.15,0.168,0.881,0.95,0.881
turkish,0.14,0.162,0.214,0.581,0.09,0.176,0.143,0.0,0.12,0.157,0.667,0.619,0.14,0.142,0.19,0.0,0.14,0.161,0.833,0.569,0.23,0.157,0.524,0.95,0.919
turkish,0.34,0.138,0.071,0.644,0.11,0.191,0.095,0.581,0.06,0.192,0.595,0.706,0.12,0.18,0.0,0.0,0.09,0.172,0.5,0.731,0.25,0.161,0.333,0.85,0.0
turkish,0.23,0.151,0.024,0.644,0.08,0.209,0.976,0.519,0.26,0.137,0.738,0.925,0.09,0.188,0.262,0.606,0.11,0.171,0.929,0.556,0.31,0.148,0.952,0.925,0.544
turkish,0.05,0.177,0.524,0.844,0.12,0.151,0.976,0.963,0.08,0.159,0.0,0.0,0.14,0.16,0.929,0.9,0.11,0.173,0.857,0.988,0.2,0.155,0.952,0.919,0.881
turkish,0.14,0.141,0.167,0.744,0.05,0.186,0.905,0.65,0.05,0.168,0.667,0.919,0.08,0.203,0.143,0.0,0.2,0.15,0.833,1.0,0.31,0.141,0.619,0.863,0.494
turkish,0.05,0.177,0.429,0.869,0.08,0.177,0.19,0.756,0.09,0.16,0.167,0.669,0.05,0.189,0.857,0.744,0.12,0.162,0.881,0.938,0.25,0.165,0.143,0.931,0.519
turkish,0.52,0.126,0.095,1.0,0.11,0.19,0.667,0.463,0.05,0.205,0.452,0.644,0.12,0.211,0.214,0.719,0.08,0.201,0.81,0.0,0.35,0.178,0.024,0.681,0.475
turkish,0.09,0.176,0.929,0.981,0.08,0.237,0.976,1.0,0.08,0.22,0.976,0.969,0.09,0.244,0.976,0.844,0.11,0.163,0.619,0.0,0.17,0.161,0.881,0.812,0.963
turkish,0.2,0.149,0.214,0.812,0.06,0.23,0.214,0.487,0.09,0.191,0.381,0.719,0.06,0.197,0.095,0.762,0.08,0.173,0.357,0.562,0.2,0.176,0.0,0.0,0.0
turkish,0.05,0.199,0.786,0.825,0.09,0.2,0.786,0.512,0.05,0.183,0.786,0.775,0.09,0.191,0.905,0.831,0.11,0.173,0.476,0.0,0.12,0.167,0.952,0.7,0.988
turkish,0.12,0.16,0.571,0.963,0.11,0.21,0.976,0.956,0.08,0.192,0.714,0.95,0.05,0.181,0.5,0.906,0.06,0.181,0.833,0.606,0.11,0.17,0.643,0.938,0.794
turkish,0.08,0.186,0.524,0.938,0.09,0.194,0.976,0.806,0.05,0.204,0.952,0.963,0.08,0.203,0.881,0.794,0.08,0.176,0.738,0.844,0.28,0.158,0.976,0.906,0.9
turkish,0.05,0.179,0.095,0.631,0.08,0.178,0.119,0.519,0.09,0.196,0.643,0.631,0.11,0.184,0.238,0.831,0.09,0.176,0.571,0.544,0.05,0.171,0.048,0.856,0.0
turkish,0.05,0.168,0.262,0.781,0.08,0.222,0.952,0.694,0.09,0.2,0.952,0.975,0.08,0.236,0.167,0.95,0.05,0.19,0.0,0.0,0.05,0.161,0.167,0.969,0.681
turkish,0.11,0.208,0.976,0.988,0.05,0.204,0.976,1.0,0.09,0.198,0.0,0.0,0.05,0.221,0.976,0.956,0.11,0.178,0.786,0.931,0.09,0.183,0.905,0.875,0.881
turkish,0.06,0.164,0.024,0.469,0.08,0.159,0.31,0.794,0.12,0.157,0.619,0.637,0.09,0.19,0.167,0.662,0.08,0.173,0.929,0.475,0.18,0.159,0.929,0.912,0.887
turkish,0.14,0.223,0.976,0.894,0.05,0.303,0.69,0.806,0.14,0.192,0.452,0.9,0.09,0.193,0.214,0.569,0.08,0.193,0.881,0.713,0.06,0.19,0.024,0.894,0.519
turkish,0.14,0.162,0.619,0.869,0.08,0.189,0.024,0.531,0.11,0.161,0.214,0.0,0.08,0.186,0.095,0.0,0.06,0.193,0.976,0.744,0.14,0.161,0.0,0.0,0.0
turkish,0.08,0.164,0.024,0.537,0.09,0.207,0.0,0.0,0.05,0.185,0.619,0.544,0.06,0.204,0.024,0.806,0.06,0.205,0.929,0.581,0.15,0.163,0.286,0.95,0.731
turkish,0.08,0.183,0.833,0.887,0.06,0.188,0.952,0.963,0.05,0.176,0.738,0.769,0.08,0.207,0.952,0.694,0.06,0.201,0.952,0.975,0.06,0.192,0.643,0.931,0.0
turkish,0.08,0.199,0.833,0.975,0.11,0.165,0.905,0.975,0.11,0.178,0.952,0.975,0.06,0.189,0.69,0.956,0.15,0.158,0.762,0.825,0.06,0.195,0.19,0.875,0.531
turkish,0.06,0.19,0.286,0.662,0.06,0.197,0.476,0.794,0.05,0.198,0.833,0.619,0.05,0.202,0.31,0.0,0.06,0.192,0.929,0.531,0.08,0.193,0.167,0.938,0.619
turkish,0.08,0.226,0.952,0.694,0.08,0.237,0.976,1.0,0.09,0.194,0.976,0.963,0.06,0.2,0.524,0.906,0.05,0.183,0.571,0.744,0.12,0.167,0.929,0.9,0.975
turkish,0.25,0.138,0.048,0.8,0.06,0.186,0.952,0.412,0.09,0.185,0.976,0.988,0.06,0.213,0.952,0.881,0.14,0.158,0.476,0.95,0.38,0.152,0.952,0.794,0.9
turkish,0.12,0.173,0.095,0.569,0.09,0.197,0.786,0.844,0.05,0.209,0.905,0.706,0.11,0.198,0.167,0.806,0.06,0.169,0.5,0.581,0.06,0.166,0.214,0.869,0.0
turkish,0.05,0.169,0.429,0.875,0.08,0.179,0.976,0.769,0.12,0.162,0.929,0.975,0.05,0.195,0.786,0.944,0.08,0.178,0.905,0.869,0.11,0.159,0.19,0.912,0.544
turkish,0.11,0.163,0.143,0.556,0.06,0.207,0.571,0.6,0.06,0.209,0.5,0.781,0.14,0.204,0.19,0.694,0.06,0.189,0.714,0.506,0.18,0.165,0.31,0.875,0.656
turkish,0.06,0.174,0.452,0.975,0.08,0.209,0.952,0.938,0.05,0.232,0.786,0.869,0.08,0.199,0.976,0.644,0.08,0.183,0.786,0.988,0.22,0.157,0.952,0.794,0.988
turkish,0.08,0.157,0.071,0.731,0.08,0.18,0.881,0.525,0.14,0.178,0.952,0.631,0.09,0.189,0.357,0.725,0.12,0.167,0.5,0.644,0.08,0.203,0.381,0.0,0.781
tswana,0.14,0.195,0.976,0.719,0.05,0.218,0.357,1.0,0.06,0.21,0.833,0.544,0.06,0.202,0.952,0.975,0.08,0.181,0.857,0.975,0.08,0.195,0.81,0.938,0.0
tswana,0.08,0.186,0.857,0.794,0.05,0.18,0.595,0.869,0.08,0.168,0.786,0.631,0.06,0.2,0.571,0.869,0.06,0.194,0.881,0.725,0.12,0.179,0.357,0.988,0.7
tigrigna,0.88,0.122,0.81,0.781,0.05,0.221,0.143,0.9,0.06,0.201,0.833,0.681,0.15,0.195,0.095,0.969,0.09,0.193,0.31,0.0,0.2,0.156,0.31,0.831,0.531
